ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490093920,"VIA DEL LITTORALE"
490094240,"VIA DEL MANDORLO"
490094330,"VIA DEL MARE"
490094430,"VIA DEL MARZOCCO"
490094650,"VIA DEL METALLO"
490094820,"VIA DEL MOLO MEDICEO"
490094855,"VIA DEL MONTE D'ORO"
490094970,"VIA DEL MULINO A VENTO"
490095340,"VIA DEL PALLONE"
490095370,"VIA DEL PANIFICIO"
490095390,"VIA DEL PANTALONE"
490095410,"VIA DEL PARCO"
490095430,"VIA DEL PARTIGIANO"
490095460,"VIA DEL PASTORE"
490095580,"VIA DEL PETTINE"
490095720,"VIA DEL PINO"
490095780,"VIA DEL PLATANO"
490095810,"VIA DEL POGGETTO"
490095830,"VIA DEL POGGIO"
490095855,"VIA DEL PONENTINO"
490095860,"VIA DEL PONTE"
490095910,"VIA DEL PORTICCIOLO"
490095913,"VIA DEL PORTO"
490095978,"VIA DEL PUNTONE"
490096025,"VIA DEL RADAR"
490096160,"VIA DEL RIPOSO"
490096250,"VIA DEL ROSMARINO"
490096440,"VIA DEL SASSO ROSSO"
490096520,"VIA DEL SEMINARIO"
490096830,"VIA DEL TEMPIO"
490096870,"VIA DEL TESTAIO"
490096970,"VIA DEL TORO"
490097250,"VIA DEL VASCELLO"
490097293,"VIA DEL VECCHIO FARO"
490097295,"VIA DEL VECCHIO LAZZERETTO"
490097440,"VIA DEL VIGNA"
490097497,"VIA DEL VIPERAIO"
490097545,"VIA DEL VOLONTARIATO"
490097570,"VIA DEL VOLTONE"
490091800,"VIA DELFINO CINELLI"
490092555,"VIA DELL' ECOLOGIA"
490090090,"VIA DELL'AGAVE"
490090160,"VIA DELL'ALLORO"
490090180,"VIA DELL'AMBROGIANA"
490090260,"VIA DELL'ANGIOLO"
490090280,"VIA DELL'ANTICA POLVERIERA"
490090295,"VIA DELL'ANTIMONIO"
490090330,"VIA DELL'ARDENZA"
490090340,"VIA DELL'ARENA ALFIERI"
490090365,"VIA DELL'ARTIGIANATO"
490092560,"VIA DELL'EDERA"
